id;city_code;name;state_id
574;25899;ZIPAQUIRÁ;11
575;27001;QUIBDÓ;12
576;27006;ACANDÍ;12
577;27025;ALTO BAUDÓ;12
578;27050;ATRATO;12
579;27073;BAGADÓ;12
580;27075;BAHÍA SOLANO;12
581;27077;BAJO BAUDÓ;12
582;27099;BOJAYÁ;12
583;27135;EL CANTÓN DEL SAN PABLO;12
584;27150;CARMEN DEL DARIÉN;12
585;27160;CÉRTEGUI;12
586;27205;CONDOTO;12
587;27245;EL CARMEN DE ATRATO;12
588;27250;EL LITORAL DEL SAN JUAN;12
589;27361;ISTMINA;12
590;27372;JURADÓ;12
591;27413;LLORÓ;12
592;27425;MEDIO ATRATO;12
593;27430;MEDIO BAUDÓ;12
594;27450;MEDIO SAN JUAN;12
595;27491;NÓVITA;12
596;27493;NUEVO BELÉN DE BAJIRÁ;12
597;27495;NUQUÍ;12
598;27580;RÍO IRÓ;12
599;27600;RÍO QUITO;12
600;27615;RIOSUCIO;12
601;27660;SAN JOSÉ DEL PALMAR;12
602;27745;SIPÍ;12
603;27787;TADÓ;12
604;27800;UNGUÍA;12
605;27810;UNIÓN PANAMERICANA;12
606;41001;NEIVA;13
607;41006;ACEVEDO;13
608;41013;AGRADO;13
609;41016;AIPE;13
610;41020;ALGECIRAS;13
611;41026;ALTAMIRA;13
612;41078;BARAYA;13
613;41132;CAMPOALEGRE;13
614;41206;COLOMBIA;13
615;41244;ELÍAS;13
616;41298;GARZÓN;13
617;41306;GIGANTE;13
618;41319;GUADALUPE;13
619;41349;HOBO;13
620;41357;ÍQUIRA;13
621;41359;ISNOS;13
622;41378;LA ARGENTINA;13
623;41396;LA PLATA;13
624;41483;NÁTAGA;13
625;41503;OPORAPA;13
626;41518;PAICOL;13
627;41524;PALERMO;13
628;41530;PALESTINA;13
629;41548;PITAL;13
630;41551;PITALITO;13
631;41615;RIVERA;13
632;41660;SALADOBLANCO;13
633;41668;SAN AGUSTÍN;13
634;41676;SANTA MARÍA;13
635;41770;SUAZA;13
636;41791;TARQUI;13
637;41797;TESALIA;13
638;41799;TELLO;13
639;41801;TERUEL;13
640;41807;TIMANÁ;13
641;41872;VILLAVIEJA;13
642;41885;YAGUARÁ;13
643;44001;RIOHACHA;14
644;44035;ALBANIA;14
645;44078;BARRANCAS;14
646;44090;DIBULLA;14
647;44098;DISTRACCIÓN;14
648;44110;EL MOLINO;14
649;44279;FONSECA;14
650;44378;HATONUEVO;14
651;44420;LA JAGUA DEL PILAR;14
652;44430;MAICAO;14
653;44560;MANAURE;14
654;44650;SAN JUAN DEL CESAR;14
655;44847;URIBIA;14
656;44855;URUMITA;14
657;44874;VILLANUEVA;14
658;47001;SANTA MARTA;15
659;47030;ALGARROBO;15
660;47053;ARACATACA;15
661;47058;ARIGUANÍ;15
662;47161;CERRO DE SAN ANTONIO;15
663;47170;CHIVOLO;15
664;47189;CIÉNAGA;15
665;47205;CONCORDIA;15
666;47245;EL BANCO;15
667;47258;EL PIÑÓN;15
668;47268;EL RETÉN;15
669;47288;FUNDACIÓN;15
670;47318;GUAMAL;15
671;47460;NUEVA GRANADA;15
672;47541;PEDRAZA;15
673;47545;PIJIÑO DEL CARMEN;15
674;47551;PIVIJAY;15
675;47555;PLATO;15
676;47570;PUEBLOVIEJO;15
677;47605;REMOLINO;15
678;47660;SABANAS DE SAN ÁNGEL;15
679;47675;SALAMINA;15
680;47692;SAN SEBASTIÁN DE BUENAVISTA;15
681;47703;SAN ZENÓN;15
682;47707;SANTA ANA;15
683;47720;SANTA BÁRBARA DE PINTO;15
684;47745;SITIONUEVO;15
685;47798;TENERIFE;15
686;47960;ZAPAYÁN;15
687;47980;ZONA BANANERA;15
688;50001;VILLAVICENCIO;16
689;50006;ACACÍAS;16
690;50110;BARRANCA DE UPÍA;16
691;50124;CABUYARO;16
692;50150;CASTILLA LA NUEVA;16
693;50223;CUBARRAL;16
694;50226;CUMARAL;16
695;50245;EL CALVARIO;16
696;50251;EL CASTILLO;16
697;50270;EL DORADO;16
698;50287;FUENTE DE ORO;16
699;50313;GRANADA;16
700;50318;GUAMAL;16
701;50325;MAPIRIPÁN;16
702;50330;MESETAS;16
703;50350;LA MACARENA;16
704;50370;URIBE;16
705;50400;LEJANÍAS;16
706;50450;PUERTO CONCORDIA;16
707;50568;PUERTO GAITÁN;16
708;50573;PUERTO LÓPEZ;16
709;50577;PUERTO LLERAS;16
710;50590;PUERTO RICO;16
711;50606;RESTREPO;16
712;50680;SAN CARLOS DE GUAROA;16
713;50683;SAN JUAN DE ARAMA;16
714;50686;SAN JUANITO;16
715;50689;SAN MARTÍN;16
716;50711;VISTAHERMOSA;16
717;52001;PASTO;17
718;52019;ALBÁN;17
719;52022;ALDANA;17
720;52036;ANCUYA;17
721;52051;ARBOLEDA;17
722;52079;BARBACOAS;17
723;52083;BELÉN;17
724;52110;BUESACO;17
725;52203;COLÓN;17
726;52207;CONSACÁ;17
727;52210;CONTADERO;17
728;52215;CÓRDOBA;17
729;52224;CUASPUD CARLOSAMA;17
730;52227;CUMBAL;17
731;52233;CUMBITARA;17
732;52240;CHACHAGÜÍ;17
733;52250;EL CHARCO;17
734;52254;EL PEÑOL;17
735;52256;EL ROSARIO;17
736;52258;EL TABLÓN DE GÓMEZ;17
737;52260;EL TAMBO;17
738;52287;FUNES;17
739;52317;GUACHUCAL;17
740;52320;GUAITARILLA;17
741;52323;GUALMATÁN;17
742;52352;ILES;17
743;52354;IMUÉS;17
744;52356;IPIALES;17
745;52378;LA CRUZ;17
746;52381;LA FLORIDA;17
747;52385;LA LLANADA;17
748;52390;LA TOLA;17
749;52399;LA UNIÓN;17
750;52405;LEIVA;17
751;52411;LINARES;17
752;52418;LOS ANDES;17
753;52427;MAGÜÍ;17
754;52435;MALLAMA;17
755;52473;MOSQUERA;17
756;52480;NARIÑO;17
757;52490;OLAYA HERRERA;17
758;52506;OSPINA;17
759;52520;FRANCISCO PIZARRO;17
760;52540;POLICARPA;17
761;52560;POTOSÍ;17
762;52565;PROVIDENCIA;17
763;52573;PUERRES;17
764;52585;PUPIALES;17
765;52612;RICAURTE;17
766;52621;ROBERTO PAYÁN;17
767;52678;SAMANIEGO;17
768;52683;SANDONÁ;17
769;52685;SAN BERNARDO;17
770;52687;SAN LORENZO;17
771;52693;SAN PABLO;17
772;52694;SAN PEDRO DE CARTAGO;17
773;52696;SANTA BÁRBARA;17
774;52699;SANTACRUZ;17
775;52720;SAPUYES;17
776;52786;TAMINANGO;17
777;52788;TANGUA;17
